{'n_aborts': 3361, 'n_successes': 2698, 'steps': 213, 'name': 'Linear Model'}
{'n_aborts': 3377, 'n_successes': 2711, 'steps': 214, 'name': 'Linear Model'}
{'n_aborts': 3392, 'n_successes': 2721, 'steps': 215, 'name': 'Linear Model'}
{'n_aborts': 3403, 'n_successes': 2743, 'steps': 216, 'name': 'Linear Model'}
{'n_aborts': 3419, 'n_successes': 2757, 'steps': 217, 'name': 'Linear Model'}
{'n_aborts': 3431, 'n_successes': 2768, 'steps': 218, 'name': 'Linear Model'}
{'n_aborts': 3441, 'n_successes': 2782, 'steps': 219, 'name': 'Linear Model'}
{'n_aborts': 3463, 'n_successes': 2793, 'steps': 220, 'name': 'Linear Model'}
{'n_aborts': 3474, 'n_successes': 2810, 'steps': 221, 'name': 'Linear Model'}
{'n_aborts': 3488, 'n_successes': 2818, 'steps': 222, 'name': 'Linear Model'}
{'n_aborts': 3503, 'n_successes': 2828, 'steps': 223, 'name': 'Linear Model'}
{'n_aborts': 3516, 'n_successes': 2838, 'steps': 224, 'name': 'Linear Model'}
{'n_aborts': 3534, 'n_successes': 2849, 'steps': 225, 'name': 'Linear Model'}
{'n_aborts': 3549, 'n_successes': 2865, 'steps': 226, 'name': 'Linear Model'}
{'n_aborts': 3565, 'n_successes': 2881, 'steps': 227, 'name': 'Linear Model'}
{'n_aborts': 3582, 'n_successes': 2891, 'steps': 228, 'name': 'Linear Model'}
{'n_aborts': 3597, 'n_successes': 2909, 'steps': 229, 'name': 'Linear Model'}
{'n_aborts': 3607, 'n_successes': 2921, 'steps': 230, 'name': 'Linear Model'}
{'n_aborts': 3613, 'n_successes': 2936, 'steps': 231, 'name': 'Linear Model'}
{'n_aborts': 3625, 'n_successes': 2953, 'steps': 232, 'name': 'Linear Model'}
{'n_aborts': 3656, 'n_successes': 2962, 'steps': 233, 'name': 'Linear Model'}
{'n_aborts': 3669, 'n_successes': 2977, 'steps': 234, 'name': 'Linear Model'}
{'n_aborts': 3693, 'n_successes': 2985, 'steps': 235, 'name': 'Linear Model'}
{'n_aborts': 3705, 'n_successes': 3001, 'steps': 236, 'name': 'Linear Model'}
{'n_aborts': 3717, 'n_successes': 3011, 'steps': 237, 'name': 'Linear Model'}
{'n_aborts': 3733, 'n_successes': 3026, 'steps': 238, 'name': 'Linear Model'}
{'n_aborts': 3747, 'n_successes': 3042, 'steps': 239, 'name': 'Linear Model'}
{'n_aborts': 3767, 'n_successes': 3057, 'steps': 240, 'name': 'Linear Model'}
{'n_aborts': 3779, 'n_successes': 3070, 'steps': 241, 'name': 'Linear Model'}
{'n_aborts': 3806, 'n_successes': 3081, 'steps': 242, 'name': 'Linear Model'}
{'n_aborts': 3818, 'n_successes': 3092, 'steps': 243, 'name': 'Linear Model'}
{'n_aborts': 3844, 'n_successes': 3105, 'steps': 244, 'name': 'Linear Model'}
{'n_aborts': 3868, 'n_successes': 3115, 'steps': 245, 'name': 'Linear Model'}
{'n_aborts': 3877, 'n_successes': 3124, 'steps': 246, 'name': 'Linear Model'}
{'n_aborts': 3897, 'n_successes': 3136, 'steps': 247, 'name': 'Linear Model'}
{'n_aborts': 3911, 'n_successes': 3149, 'steps': 248, 'name': 'Linear Model'}
{'n_aborts': 3924, 'n_successes': 3158, 'steps': 249, 'name': 'Linear Model'}
{'n_aborts': 3942, 'n_successes': 3174, 'steps': 250, 'name': 'Linear Model'}
{'n_aborts': 3954, 'n_successes': 3187, 'steps': 251, 'name': 'Linear Model'}
{'n_aborts': 3976, 'n_successes': 3196, 'steps': 252, 'name': 'Linear Model'}
{'n_aborts': 3986, 'n_successes': 3212, 'steps': 253, 'name': 'Linear Model'}
{'n_aborts': 4004, 'n_successes': 3225, 'steps': 254, 'name': 'Linear Model'}
{'n_aborts': 4015, 'n_successes': 3235, 'steps': 255, 'name': 'Linear Model'}
{'n_aborts': 4025, 'n_successes': 3250, 'steps': 256, 'name': 'Linear Model'}
{'n_aborts': 4043, 'n_successes': 3265, 'steps': 257, 'name': 'Linear Model'}
{'n_aborts': 4059, 'n_successes': 3285, 'steps': 258, 'name': 'Linear Model'}
{'n_aborts': 4064, 'n_successes': 3294, 'steps': 259, 'name': 'Linear Model'}
{'n_aborts': 4075, 'n_successes': 3311, 'steps': 260, 'name': 'Linear Model'}
{'n_aborts': 4098, 'n_successes': 3320, 'steps': 261, 'name': 'Linear Model'}
{'n_aborts': 4111, 'n_successes': 3331, 'steps': 262, 'name': 'Linear Model'}
{'n_aborts': 4136, 'n_successes': 3342, 'steps': 263, 'name': 'Linear Model'}
{'n_aborts': 4154, 'n_successes': 3355, 'steps': 264, 'name': 'Linear Model'}
{'n_aborts': 4166, 'n_successes': 3368, 'steps': 265, 'name': 'Linear Model'}
{'n_aborts': 4178, 'n_successes': 3386, 'steps': 266, 'name': 'Linear Model'}
{'n_aborts': 4192, 'n_successes': 3398, 'steps': 267, 'name': 'Linear Model'}
{'n_aborts': 4208, 'n_successes': 3412, 'steps': 268, 'name': 'Linear Model'}
{'n_aborts': 4224, 'n_successes': 3425, 'steps': 269, 'name': 'Linear Model'}
{'n_aborts': 4233, 'n_successes': 3440, 'steps': 270, 'name': 'Linear Model'}
{'n_aborts': 4242, 'n_successes': 3450, 'steps': 271, 'name': 'Linear Model'}
{'n_aborts': 4256, 'n_successes': 3467, 'steps': 272, 'name': 'Linear Model'}
{'n_aborts': 4273, 'n_successes': 3483, 'steps': 273, 'name': 'Linear Model'}
{'n_aborts': 4283, 'n_successes': 3496, 'steps': 274, 'name': 'Linear Model'}
{'n_aborts': 4292, 'n_successes': 3514, 'steps': 275, 'name': 'Linear Model'}
{'n_aborts': 4309, 'n_successes': 3528, 'steps': 276, 'name': 'Linear Model'}
{'n_aborts': 4321, 'n_successes': 3545, 'steps': 277, 'name': 'Linear Model'}
{'n_aborts': 4339, 'n_successes': 3564, 'steps': 278, 'name': 'Linear Model'}
{'n_aborts': 4353, 'n_successes': 3576, 'steps': 279, 'name': 'Linear Model'}
{'n_aborts': 4364, 'n_successes': 3591, 'steps': 280, 'name': 'Linear Model'}
{'n_aborts': 4382, 'n_successes': 3608, 'steps': 281, 'name': 'Linear Model'}
{'n_aborts': 4401, 'n_successes': 3617, 'steps': 282, 'name': 'Linear Model'}
{'n_aborts': 4420, 'n_successes': 3622, 'steps': 283, 'name': 'Linear Model'}
{'n_aborts': 4432, 'n_successes': 3637, 'steps': 284, 'name': 'Linear Model'}
{'n_aborts': 4453, 'n_successes': 3650, 'steps': 285, 'name': 'Linear Model'}
{'n_aborts': 4466, 'n_successes': 3666, 'steps': 286, 'name': 'Linear Model'}
{'n_aborts': 4485, 'n_successes': 3674, 'steps': 287, 'name': 'Linear Model'}
{'n_aborts': 4501, 'n_successes': 3690, 'steps': 288, 'name': 'Linear Model'}
{'n_aborts': 4521, 'n_successes': 3701, 'steps': 289, 'name': 'Linear Model'}
{'n_aborts': 4529, 'n_successes': 3710, 'steps': 290, 'name': 'Linear Model'}
{'n_aborts': 4546, 'n_successes': 3723, 'steps': 291, 'name': 'Linear Model'}
{'n_aborts': 4564, 'n_successes': 3738, 'steps': 292, 'name': 'Linear Model'}
{'n_aborts': 4585, 'n_successes': 3751, 'steps': 293, 'name': 'Linear Model'}
{'n_aborts': 4594, 'n_successes': 3767, 'steps': 294, 'name': 'Linear Model'}
{'n_aborts': 4617, 'n_successes': 3778, 'steps': 295, 'name': 'Linear Model'}
{'n_aborts': 4635, 'n_successes': 3793, 'steps': 296, 'name': 'Linear Model'}
{'n_aborts': 4653, 'n_successes': 3808, 'steps': 297, 'name': 'Linear Model'}
{'n_aborts': 4666, 'n_successes': 3824, 'steps': 298, 'name': 'Linear Model'}
{'n_aborts': 4673, 'n_successes': 3837, 'steps': 299, 'name': 'Linear Model'}
{'n_aborts': 4696, 'n_successes': 3850, 'steps': 300, 'name': 'Linear Model'}
{'n_aborts': 4709, 'n_successes': 3867, 'steps': 301, 'name': 'Linear Model'}
{'n_aborts': 4724, 'n_successes': 3877, 'steps': 302, 'name': 'Linear Model'}
{'n_aborts': 4741, 'n_successes': 3890, 'steps': 303, 'name': 'Linear Model'}
{'n_aborts': 4757, 'n_successes': 3904, 'steps': 304, 'name': 'Linear Model'}
{'n_aborts': 4770, 'n_successes': 3915, 'steps': 305, 'name': 'Linear Model'}
{'n_aborts': 4788, 'n_successes': 3925, 'steps': 306, 'name': 'Linear Model'}
{'n_aborts': 4801, 'n_successes': 3941, 'steps': 307, 'name': 'Linear Model'}
{'n_aborts': 4812, 'n_successes': 3953, 'steps': 308, 'name': 'Linear Model'}
{'n_aborts': 4824, 'n_successes': 3970, 'steps': 309, 'name': 'Linear Model'}
{'n_aborts': 4847, 'n_successes': 3984, 'steps': 310, 'name': 'Linear Model'}
{'n_aborts': 4863, 'n_successes': 3996, 'steps': 311, 'name': 'Linear Model'}
{'n_aborts': 4875, 'n_successes': 4012, 'steps': 312, 'name': 'Linear Model'}
{'n_aborts': 4883, 'n_successes': 4022, 'steps': 313, 'name': 'Linear Model'}
{'n_aborts': 4893, 'n_successes': 4036, 'steps': 314, 'name': 'Linear Model'}
