{'n_aborts': 0, 'n_successes': 265, 'steps': 23, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 127, 'steps': 23, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 65, 'steps': 23, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 116, 'steps': 24, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 268, 'steps': 24, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 120, 'steps': 24, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 125, 'steps': 24, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 271, 'steps': 24, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 132, 'steps': 24, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 67, 'steps': 24, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 119, 'steps': 25, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 274, 'steps': 25, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 122, 'steps': 25, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 128, 'steps': 25, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 276, 'steps': 25, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 137, 'steps': 25, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 68, 'steps': 25, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 124, 'steps': 26, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 277, 'steps': 26, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 127, 'steps': 26, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 132, 'steps': 26, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 281, 'steps': 26, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 140, 'steps': 26, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 72, 'steps': 26, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 131, 'steps': 27, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 281, 'steps': 27, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 134, 'steps': 27, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 138, 'steps': 27, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 282, 'steps': 27, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 154, 'steps': 27, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 80, 'steps': 27, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 137, 'steps': 28, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 286, 'steps': 28, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 138, 'steps': 28, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 141, 'steps': 28, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 289, 'steps': 28, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 163, 'steps': 28, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 83, 'steps': 28, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 141, 'steps': 29, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 291, 'steps': 29, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 143, 'steps': 29, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 146, 'steps': 29, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 292, 'steps': 29, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 167, 'steps': 29, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 85, 'steps': 29, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 148, 'steps': 30, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 296, 'steps': 30, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 147, 'steps': 30, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 153, 'steps': 30, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 295, 'steps': 30, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 172, 'steps': 30, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 86, 'steps': 30, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 151, 'steps': 31, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 300, 'steps': 31, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 154, 'steps': 31, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 157, 'steps': 31, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 298, 'steps': 31, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 175, 'steps': 31, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 88, 'steps': 31, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 156, 'steps': 32, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 303, 'steps': 32, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 159, 'steps': 32, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 165, 'steps': 32, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 301, 'steps': 32, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 180, 'steps': 32, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 93, 'steps': 32, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 159, 'steps': 33, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 309, 'steps': 33, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 163, 'steps': 33, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 167, 'steps': 33, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 303, 'steps': 33, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 186, 'steps': 33, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 100, 'steps': 33, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 163, 'steps': 34, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 312, 'steps': 34, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 164, 'steps': 34, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 173, 'steps': 34, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 309, 'steps': 34, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 192, 'steps': 34, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 101, 'steps': 34, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 167, 'steps': 35, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 313, 'steps': 35, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 168, 'steps': 35, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 177, 'steps': 35, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 312, 'steps': 35, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 200, 'steps': 35, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 104, 'steps': 35, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 173, 'steps': 36, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 317, 'steps': 36, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 171, 'steps': 36, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 179, 'steps': 36, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 317, 'steps': 36, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 207, 'steps': 36, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 106, 'steps': 36, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 175, 'steps': 37, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 321, 'steps': 37, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 172, 'steps': 37, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 186, 'steps': 37, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 319, 'steps': 37, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 209, 'steps': 37, 'name': 'RL-ordered k-smf n=50 T=6'}
{'n_aborts': 0, 'n_successes': 107, 'steps': 37, 'name': 'RL-ordered k-smf n=20 T=6'}
{'n_aborts': 0, 'n_successes': 180, 'steps': 38, 'name': 'k-smf-k=5'}
{'n_aborts': 0, 'n_successes': 324, 'steps': 38, 'name': 'k-smf-twisted-k=5'}
{'n_aborts': 0, 'n_successes': 179, 'steps': 38, 'name': 'k-smf-oracle-k=5'}
{'n_aborts': 0, 'n_successes': 190, 'steps': 38, 'name': 'k-smf-oracle-2-phase-k=5'}
{'n_aborts': 0, 'n_successes': 322, 'steps': 38, 'name': 'k-smf-twisted-oracle-2-phase-k=5'}
